ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-04-20,25807.52347089325,64226.25000000001,21518.495843872475,30262.612017812826,25807.52347089325,25807.52347089325,25.028003708589083,25.028003708589083,25.028003708589083,25.028003708589083,25.028003708589083,25.028003708589083,0.0,0.0,0.0,25832.55147460184
2015-04-27,25801.248647273555,64226.25000000001,21483.568186206714,30116.6074427755,25801.248647273555,25801.248647273555,288.31014264230953,288.31014264230953,288.31014264230953,288.31014264230953,288.31014264230953,288.31014264230953,0.0,0.0,0.0,26089.558789915864
2015-05-04,25794.974324959057,64226.25000000001,22626.90168003505,31138.875387547956,25794.974324959057,25794.974324959057,940.0182320937092,940.0182320937092,940.0182320937092,940.0182320937092,940.0182320937092,940.0182320937092,0.0,0.0,0.0,26734.992557052767
2015-05-11,25788.700504407978,64226.25000000001,22856.11655038704,31637.337551229004,25788.700504407978,25788.700504407978,1633.8046576183822,1633.8046576183822,1633.8046576183822,1633.8046576183822,1633.8046576183822,1633.8046576183822,0.0,0.0,0.0,27422.50516202636
2015-05-18,25782.427186078363,64226.25000000001,23404.67752563536,31795.184630491975,25782.427186078363,25782.427186078363,1896.3439916880732,1896.3439916880732,1896.3439916880732,1896.3439916880732,1896.3439916880732,1896.3439916880732,0.0,0.0,0.0,27678.771177766437
2015-05-25,25776.154370428118,64226.25000000001,23097.40216075545,31662.100551361134,25776.154370428118,25776.154370428118,1557.9737651883004,1557.9737651883004,1557.9737651883004,1557.9737651883004,1557.9737651883004,1557.9737651883004,0.0,0.0,0.0,27334.128135616418
2015-06-01,25769.882057914994,64226.25000000001,22490.773913957077,30979.37571490173,25769.882057914994,25769.882057914994,919.8930950807678,919.8930950807678,919.8930950807678,919.8930950807678,919.8930950807678,919.8930950807678,0.0,0.0,0.0,26689.77515299576
2015-06-08,25763.610248996567,64226.25000000001,21631.500678449287,30972.176952831192,25763.610248996567,25763.610248996567,458.37813202594424,458.37813202594424,458.37813202594424,458.37813202594424,458.37813202594424,458.37813202594424,0.0,0.0,0.0,26221.98838102251
2015-06-15,25757.33894413027,64226.25000000001,22067.646545692412,30851.474976398604,25757.33894413027,25757.33894413027,371.0108612845331,371.0108612845331,371.0108612845331,371.0108612845331,371.0108612845331,371.0108612845331,0.0,0.0,0.0,26128.349805414804
2015-06-22,25751.068137712475,64226.25000000001,22178.3855995096,30772.238769863216,25751.068137712475,25751.068137712475,448.9774424028238,448.9774424028238,448.9774424028238,448.9774424028238,448.9774424028238,448.9774424028238,0.0,0.0,0.0,26200.0455801153
